text,label
"The study protocol was approved by the Institutional Review Board.",2
"A new batch record was initiated for lot number 789-ABC.",1
"The final clinical study report is due for submission next quarter.",2
"Process validation for the new tablet press is complete.",1
"An adverse event was reported and documented.",2
"The API purity was confirmed to be 99.8% by HPLC.",1
"We submitted the updated safety information to the FDA.",0
"Patient enrollment for Phase III has exceeded our target.",2
"The change control for the updated SOP was approved.",0
"Annual product quality review shows a stable trend.",0
"The upstream bioreactor yield was lower than expected.",1
"Informed consent was obtained from all study participants.",2
"A deviation was filed for the temperature excursion in warehouse 3.",0
"The new lyophilization cycle was successfully validated.",1
"The marketing authorization application is under review by the EMA.",0
